Pokemon Number, Total Stats
384.1,780
150.2,780
150.1,780
383.1,770
382,770
381.1,700
380.1,700
376.1,700
373.1,700
248.1,700
384,680
250,680
249,680
150,680
383,670
382,670
289,670
130.1,640
260.1,635
6.2,634
6.1,634
306.1,630
257.1,630
254.1,630
9.1,630
3.1,625
282.1,618
142.1,615
208.1,610
181.1,610
386.3,600
386.2,600
386.1,600
386,600
385,600
381,600
380,600
376,600
373,600
251,600
248,600
229.1,600
214.1,600
212.1,600
151,600
149,600
127.1,600
94.1,600
334.1,590
115.1,590
80.1,590
65.1,590
379,580
378,580
377,580
362.1,580
245,580
244,580
243,580
146,580
145,580
144,580
18.1,579
310.1,575
359.1,565
323.1,560
319.1,560
354.1,555
59,555
350,540
242,540
230,540
143,540
130,540
260,535
169,535
131,535
157,534
6,534
365,530
306,530
257,530
254,530
160,530
9,530
197,525
196,525
154,525
136,525
135,525
134,525
91,525
3,525
330,520
121,520
103,520
282,518
233,515
142,515
73,515
308.1,510
208,510
181,510
62,510
213,505
68,505
38,505
34,505
31,505
344,500
321,500
232,500
229,500
217,500
214,500
212,500
186,500
127,500
123,500
94,500
89,500
78,500
65,500
55,500
348,495
346,495
141,495
139,495
126,495
76,495
15.1,495
334,490
295,490
241,490
199,490
182,490
128,490
125,490
115,490
110,490
80,490
71,490
45,490
369,485
368,485
367,485
112,485
26,485
97,483
36,483
362,480
303.1,480
302.1,480
275,480
272,480
224,480
101,480
18,479
332,475
310,475
99,475
87,475
297,474
326,470
324,470
178,470
342,468
340,468
317,467
359,465
234,465
227,465
226,465
205,465
82,465
357,460
323,460
319,460
286,460
189,460
171,460
122,460
85,460
336,458
335,458
291,456
356,455
354,455
237,455
203,455
124,455
107,455
106,455
57,455
42,455
221,450
210,450
119,450
113,450
49,450
28,450
164,442
22,442
352,440
338,440
337,440
288,440
117,440
53,440
24,438
200,435
114,435
40,435
305,430
279,430
277,430
215,430
211,430
207,430
195,430
358,425
192,425
105,425
375,420
372,420
351,420
264,420
262,420
184,420
148,420
206,415
162,415
284,414
20,413
364,410
308,410
247,410
219,410
185,410
77,410
312,405
311,405
259,405
256,405
253,405
202,405
198,405
176,405
159,405
156,405
153,405
93,405
67,405
51,405
47,405
8,405
5,405
2,405
320,400
315,400
314,400
313,400
64,400
267,395
137,395
44,395
15,395
12,395
193,390
168,390
166,390
75,390
70,390
269,385
108,385
95,385
61,385
303,380
302,380
301,380
222,380
299,375
240,365
180,365
33,365
30,365
327,360
294,360
239,360
190,360
347,355
345,355
140,355
138,355
83,352
58,350
17,349
366,345
111,345
329,340
274,340
271,340
188,340
120,340
109,340
201,336
331,335
72,335
370,330
325,330
304,330
231,330
228,330
225,330
216,330
170,330
100,330
96,328
133,325
102,325
98,325
88,325
86,325
81,325
35,323
177,320
118,320
104,320
54,320
43,320
25,320
152,318
1,318
79,315
158,314
7,314
333,310
258,310
255,310
252,310
92,310
84,310
63,310
155,309
4,309
341,308
322,305
318,305
238,305
90,305
66,305
56,305
48,305
316,302
374,300
371,300
361,300
343,300
246,300
223,300
209,300
147,300
74,300
69,300
60,300
27,300
37,299
355,295
353,295
309,295
285,295
116,295
363,290
328,290
204,290
52,290
339,288
132,288
23,288
46,285
307,280
287,280
179,280
281,278
29,275
32,273
278,270
276,270
39,270
283,269
290,266
165,265
50,265
163,262
21,262
360,260
300,260
19,253
16,251
235,250
220,250
218,250
187,250
183,250
167,250
175,245
41,245
293,240
263,240
296,237
292,236
273,220
270,220
261,220
173,218
161,215
236,210
194,210
174,210
268,205
266,205
172,205
14,205
11,205
349,200
129,200
280,198
265,195
13,195
10,195
298,190
191,180
